,Codes,lat,long,commute_time,commute_time_min
267,M3J 0H2,43.764768,-79.4928429,5 mins,5
268,M3J 0H3,43.764768,-79.4928429,5 mins,5
269,M3J 0H4,43.7564266,-79.4983334,8 mins,8
270,M3J 0H5,43.7565744,-79.4985042,8 mins,8
271,M3J 0H6,43.7564821,-79.4985022,8 mins,8
272,M3J 0H7,43.7679803,-79.4872619,5 mins,5
273,M3J 0H8,43.7679803,-79.4872619,5 mins,5
274,M3J 0H9,43.7679803,-79.4872619,5 mins,5
275,M3J 0J1,43.7347523,-79.3461156,24 mins,24
276,M3J 0J2,43.7679803,-79.4872619,5 mins,5
277,M3J 0J3,43.7679803,-79.4872619,5 mins,5
278,M3J 0J4,43.7679803,-79.4872619,5 mins,5
279,M3J 0J6,43.7679803,-79.4872619,5 mins,5
280,M3J 0J9,43.7679803,-79.4872619,5 mins,5
281,M3J 0K1,43.7679803,-79.4872619,5 mins,5
282,M3J 0K2,43.766479,-79.472165,9 mins,9
283,M3J 0K3,43.7679803,-79.4872619,5 mins,5
284,M3J 0K4,43.7679803,-79.4872619,5 mins,5
285,L4K 3E3,43.7852061,-79.4895466,4 mins,4
286,M3N 1V4,43.7712629,-79.5243373,8 mins,8
287,M3J 1J4,43.7587296,-79.4976305,8 mins,8
288,M3J 2G4,43.7639033,-79.4863831,6 mins,6
289,M3J 2B1,43.7629163,-79.4869104,6 mins,6
290,M3J 2Y8,43.7817562,-79.4874376,4 mins,4
291,M3N 1V5,43.7719197,-79.52504,7 mins,7
292,M3J 1S1,43.7583638,-79.5016721,7 mins,7
293,M3J 1J2,43.7593247,-79.4944673,7 mins,7
294,M3J 2B2,43.7624547,-79.4883164,6 mins,6
295,M3N 2G8,43.7639324,-79.5218778,8 mins,8
296,L4K 1A6,43.7778078,-79.5231075,6 mins,6
297,M3J 2J5,43.7775852,-79.4823408,7 mins,7
298,M3J 1J1,43.7588955,-79.4962246,8 mins,8
299,L4K 3E6,43.7846835,-79.4855044,5 mins,5
300,L4K 3E9,43.7842221,-79.4869104,6 mins,6
301,M3N 2R3,43.7596668,-79.5133568,10 mins,10
302,L4K 2J9,43.7876249,-79.5044836,5 mins,5
303,M3N 1N4,43.7593546,-79.5131811,10 mins,10
304,M3N 1P1,43.761635,-79.517837,8 mins,8
305,M3J 1J5,43.7599522,-79.4916555,7 mins,7
306,M3N 3A3,43.7588716,-79.5183641,9 mins,9
307,M3N 1N2,43.7587472,-79.5122148,8 mins,8
308,M3J 1N8,43.7629121,-79.4916555,5 mins,5
309,M3N 1R6,43.7645893,-79.5225805,9 mins,9
310,M3J 1S2,43.7591852,-79.5025507,7 mins,7
311,M3J 2J7,43.7812033,-79.4798802,6 mins,6
312,M3N 1M5,43.7581244,-79.510282,9 mins,9
313,M3N 1N7,43.7600098,-79.5154652,9 mins,9
314,M3N 2X9,43.7624238,-79.5183641,8 mins,8
315,M3N 1S2,43.7667261,-79.5232832,9 mins,9
316,M3J 1J6,43.7604791,-79.4909525,7 mins,7
317,M3J 1R6,43.7597865,-79.4930614,7 mins,7
318,M3N 2G7,43.7633423,-79.5202966,9 mins,9
319,L4K 2J8,43.7865097,-79.5020236,4 mins,4
320,M3J 1H8,43.75804,-79.4965761,8 mins,8
321,M3N 1V3,43.7725765,-79.5257427,8 mins,8
322,M3N 1R5,43.7651144,-79.5234589,9 mins,9
323,M3N 2N3,43.7594349,-79.5148502,9 mins,9
324,M3N 2H4,43.7734968,-79.526094,7 mins,7
325,M3N 1V2,43.7718185,-79.5271481,8 mins,8
326,M3J 1R7,43.7586676,-79.4937644,7 mins,7
327,L4K 2K3,43.7901278,-79.4995635,4 mins,4
328,M3N 2H5,43.7739913,-79.52504,7 mins,7
329,M3J 2J4,43.7718652,-79.4812863,8 mins,8
330,M3J 1V2,43.7573147,-79.4983334,8 mins,8
331,M3N 2C4,43.7619941,-79.5201209,8 mins,8
332,M3N 2N4,43.7603707,-79.5161679,9 mins,9
333,M3N 1S3,43.7665924,-79.52504,9 mins,9
334,M3N 1L6,43.7554619,-79.5087007,9 mins,9
335,L4K 0B5,43.789866,-79.4983334,5 mins,5
336,L4K 2K1,43.7900597,-79.5020236,6 mins,6
337,M3J 2A7,43.7606787,-79.4883164,6 mins,6
338,L4K 4C8,43.7744991,-79.5265332,8 mins,8
339,M2J 2X4,43.7926211,-79.3565881,20 mins,20
340,M3J 2J6,43.7766987,-79.480759,7 mins,7
341,M3J 2E4,43.7669321,-79.4823408,6 mins,6
342,M3J 2B5,43.7628525,-79.4846256,6 mins,6
343,L4K 3B8,43.7757994,-79.5253913,7 mins,7
344,M3N 1M7,43.7579584,-79.5116877,10 mins,10
345,M3J 2T7,43.7739704,-79.4800559,8 mins,8
346,M3N 1L7,43.7570738,-79.508525,8 mins,8
347,M3J 1H6,43.7567194,-79.5014964,8 mins,8
348,M3J 1H9,43.7572496,-79.4976305,8 mins,8
349,M3J 2G3,43.7649751,-79.4827802,6 mins,6
350,L4K 3E7,43.7859972,-79.4869104,4 mins,4
351,M3N 1M3,43.757351,-79.5107213,9 mins,9
352,M3J 1E9,43.7580756,-79.4937644,7 mins,7
353,L4K 4R3,43.787965,-79.4921827,4 mins,4
354,M3N 2G3,43.7729708,-79.5260062,7 mins,7
355,L4K 4Y4,43.7754061,-79.5243373,6 mins,6
356,M3N 1S9,43.7687311,-79.5241616,8 mins,8
357,M3J 2J2,43.7710777,-79.4791771,8 mins,8
358,M3N 2Z8,43.7612379,-79.5199453,9 mins,9
359,M3N 1M1,43.7572038,-79.5099306,9 mins,9
360,M3N 2N2,43.758647,-79.5135325,9 mins,9
361,M3N 2Z1,43.759794,-79.5171342,9 mins,9
362,M3J 1P9,43.7586365,-79.4918312,6 mins,6
363,L4K 3C8,43.7808526,-79.504835,5 mins,5
364,M3J 3C7,43.777718,-79.4805832,6 mins,6
365,M3N 2Y4,43.7585793,-79.5152016,10 mins,10
366,M3J 1H7,43.7562909,-79.5024629,9 mins,9
367,M3J 2M9,43.7756818,-79.477771,7 mins,7
368,M3J 2G2,43.7649751,-79.4827802,6 mins,6
369,M3N 1R3,43.762419,-79.522317,9 mins,9
370,L4K 3C7,43.777277,-79.5269724,8 mins,8
371,M3J 2A8,43.7610752,-79.4862074,7 mins,7
372,M3J 1E8,43.7575331,-79.4935008,7 mins,7
373,M3N 1S8,43.7675128,-79.5253913,8 mins,8
374,M3N 1R4,43.7630769,-79.5222291,9 mins,9
375,M3N 1T7,43.7687616,-79.526094,9 mins,9
376,M3N 1S1,43.7666573,-79.5257427,10 mins,10
377,M3J 2V8,43.7644327,-79.4825166,7 mins,7
378,M3J 2L9,43.7726563,-79.4786498,8 mins,8
379,M3J 1H3,43.7558964,-79.5021993,9 mins,9
380,L4K 2P1,43.7890618,-79.5136204,11 mins,11
381,M3J 1H5,43.7559151,-79.5000028,8 mins,8
382,M3J 2B3,43.762194,-79.4855044,6 mins,6
383,M3N 1M2,43.7566109,-79.5107213,9 mins,9
384,M3J 1E6,43.7565769,-79.495961,8 mins,8
385,L4K 1A7,43.7873517,-79.5143231,5 mins,5
386,L4K 2Y2,43.7745468,-79.5278508,8 mins,8
387,M3N 2C7,43.761975,-79.522317,9 mins,9
